Cyberincidentnum,Dyadpair,StateA,StateB,Name,interactionstartdate,interactionenddate,method,targettype,initiator,cyber_objective,information_operation,objective_achievement,Concession ,3rdpartyinitiator,severity,damage type,Crit Inf,Supply Ch,Ransomware,Political Objective,Sources1,Sources2,Sources3,Sources4,Sources5,Justice,Cert,FBI
118,2710,US,China,Premera Blue Cross Breach,5/5/2014,1/29/2015,3,1,710,2,0,1,0,0,3,2,12,0,0,State-sponored Chinese data breach group steals personal information of 11 million Premera customers,https://www.computerworld.com/article/2898419/data-breach/premera-anthem-data-breaches-linked-by-similar-hacking-tactics.html, https://www.zdnet.com/article/premera-blue-cross-accused-of-destroying-evidence-in-data-breach-lawsuit/,,,,,,
119,2710,US,China,UCLA Health system breach,9/1/2014,7/25/2015,3,1,710,2,0,1,0,0,3,2,12,0,0,"UCLA health system breach by state-sponsored Chinese group, 4.5 million personal information stolen",https://www.latimes.com/business/la-fi-ucla-medical-data-20150717-story.html, https://www.hipaajournal.com/ucla-health-system-hacked-4-5-million-patient-records-exposed-8033/,,,,,,
120,2710,US,China,DHS employee hack,11/6/2014,11/7/2014,3,2,710,3,0,1,0,0,3,2,11,0,0,"25,000 DHS employees' information stolen from OPM, this preceded the larger April 2015 OPM hack",https://arstechnica.com/tech-policy/2014/08/hackers-stole-security-check-info-on-at-least-25000-dhs-employees/,,,,,,,
121,2710,US,China,USPS breach,11/8/2014,11/10/2014,3,2,710,2,0,1,0,0,3,2,15,0,0,"Presonal informaiton of 800,000 USPS employees compromised, including PostMaster General",https://www.bankinfosecurity.com/us-postal-service-confirms-data-breach-a-7545, https://slate.com/business/2014/11/usps-data-breach-chinese-hackers-suspected-of-targeting-u-s-postal-service-in-latest-cyberattack.html,,,,,,
122,2710,US,China,Anthem Breach,12/10/2014,1/27/2015,3,1,710,2,0,1,0,0,3,2,12,0,0,Black Vine hacker group that does cyber-intelligence work for China steals sensitive information from health insuracne giant Anthem,https://www.computerworld.com/article/2880541/state-sponsored-chinese-hackers-suspected-in-anthem-breach.html, https://www.thedailybeast.com/chinese-suspected-in-anthem-data-breach,,,,,,
123,2710,US,China,GitHub Hack,3/26/2015,3/31/2015,2,1,710,1,0,1,0,0,4,1,13,1,0,"China throttles GitHub site to get rid of all anti-Chinese content on the site, Great Cannon ",https://www.wired.com/story/github-ddos-memcached/, https://www.bankinfosecurity.com/github-hit-by-its-largest-ddos-attack-a-8058,,,,,,
124,2710,US,China,United Airlines breach,5/25/2015,6/5/2015,3,1,710,3,0,1,0,0,3,2,15,1,0,Chinese APT group hacks US airline United ,https://www.theregister.co.uk/2015/07/30/chinese_hackers_opm_united_airlines_linkage/, https://www.engadget.com/2015/07/29/united-airlines-hacked-china/,,,,,,
125,2710,US,China,EvilNugget ,1/1/2017,4/30/2019,3,1,710,3,0,1,0,0,3,1,12,0,0,Chinese state-sponsored hackers were revealed to have targeted multiple U.S. cancer institutes to take information relating to cutting edge cancer research. ,https://content.fireeye.com/cyber-security-for-healthcare/rpt-beyond-compliance-cyber-threats-and-healthcare : https://www.zdnet.com/article/cancer-research-organizations-become-the-new-focus-of-chinese-hacking-groups/ : https://www.cyberscoop.com/china-cancer-research-hacking-fireeye/,https://www.zdnet.com/article/cancer-research-organizations-become-the-new-focus-of-chinese-hacking-groups/,https://www.cyberscoop.com/china-cancer-research-hacking-fireeye/,,,,,
126,2710,US,China,Dispute Portal Exploit,3/1/2017,10/30/2017,3,1,710,3,0,1,0,0,4,4,9,0,0,150 million customer records compromised: birth dates social security numbers,https://carnegieendowment.org/specialprojects/protectingfinancialstability/timeline#click-hide,https://www.ftc.gov/news-events/press-releases/2019/07/equifax-pay-575-million-part-settlement-ftc-cfpb-states-related,https://www.csoonline.com/article/3444488/equifax-data-breach-faq-what-happened-who-was-affected-what-was-the-impact.html,https://www.cnet.com/news/equifaxs-hack-one-year-later-a-look-back-at-how-it-happened-and-whats-changed/,https://www.wired.com/story/equifax-hack-china/,https://www.justice.gov/opa/pr/chinese-military-personnel-charged-computer-fraud-economic-espionage-and-wire-fraud-hacking,,
127,2710,US,China,Submarine University Hacks,4/1/2017,4/5/2019,3,1,710,3,0,1,0,0,3,2,17,1,0,steal research on submarine technologies.,https://www.accenture.com/_acnmedia/PDF-96/Accenture-Security-MUDCARP.pdf#zoom=50,https://www.wsj.com/articles/chinese-hackers-target-universities-in-pursuit-of-maritime-military-secrets-11551781800,,,,,,
128,2710,US,China,Satelite and Telecom Company Hack,6/19/2017,6/19/2018,3,1,710,1,1,1,0,0,3,1,3,1,0,"satellite, telecom, and defense organizations",https://www.reuters.com/article/us-china-usa-cyber/china-based-campaign-breached-satellite-defense-companies-symantec-idUSKBN1JF2X0,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets,https://www.cnbc.com/2018/06/19/china-based-hacking-breached-satellite-defense-companies-symantec.html,,,,,
129,2710,US,China,Navy Personnel Data Hack,11/1/2017,9/1/2018,3,3,710,3,0,1,0,0,4,2,11,1,0,APT 10 DIB breach,https://abcnews.go.com/US/navy-personal-data-134000-sailors-hacked/story?id=43760770,,,,,https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion,,https://www.fbi.gov/wanted/cyber/apt-10-group
130,2710,US,China,Sea Dragon,1/1/2018,3/1/2018,3,3,710,3,0,1,0,0,4,2,11,1,0,China attacked a subconractor for the Naval Undersea Warfare Center,https://www.washingtonpost.com/world/national-security/china-hacked-a-navy-contractor-and-secured-a-trove-of-highly-sensitive-data-on-submarine-warfare/2018/06/08/6cc396fa-68e6-11e8-bea7-c8eb28bc52b1_story.html,"https://www.thenewportbuzz.com/chinese-hackers-stole-a-boatload-of-submarine-warfare-secrets-from-newport-based-navy-contractor/16009#:~:text=China%20infiltrated%20a%20contractor%20affiliated,officials%20told%20The%20Washington%20Post",https://www.nytimes.com/2018/06/08/us/politics/china-hack-navy-contractor-.html,,,,,
131,2710,US,China,China 2FA Bypass,1/1/2018,12/19/2019,3,1,710,3,0,1,0,0,4,4,3,1,0,A Chinese state-sponsored operation attacked government entities and managed service providers by bypassing the two-factor authentication used by their targets.,https://www.fox-it.com/en/news/whitepapers/operation-wocao-shining-a-light-on-one-of-chinas-hidden-hacking-groups/,https://www.zdnet.com/article/chinese-hacker-group-caught-bypassing-2fa/,,,,,,
132,2710,US,China,Failed Exams- Lookback,7/19/2019,7/25/2019,3,1,710,1,0,1,0,0,3,1,8,1,0,State-sponsored Chinese hackers conducted a spear-phishing campaign against employees of three major U.S. utility companies ,https://www.proofpoint.com/us/threat-insight/post/lookback-malware-targets-united-states-utilities-sector-phishing-attacks,https://www.forbes.com/sites/zakdoffman/2019/08/03/chinese-state-hackers-suspected-of-malicious-cyber-attack-on-u-s-utilities/?sh=17af774a6758,,,,,,
133,2710,US,China,Wicked Spider Telecom Hack,9/15/2019,9/11/2020,3,1,710,3,0,1,0,0,3,4,3,0,0,"“In August 2019 and August 2020, a federal grand jury in Washington, D.C., returned two separate indictments charging five computer hackers, all of whom were residents and nationals of the People’s Republic of China (PRC), with computer intrusions affecting over 100 victim companies in the United States and abroad, including software development companies, computer hardware manufacturers, telecommunications providers, social media companies, video game companies, non-profit organizations, universities, think tanks, and foreign governments, as well as pro-democracy politicians and activists in Hong Kong….facilitated the theft of source code, software code signing certificates, customer account data, and valuable business information.  These intrusions also facilitated the defendants’ other criminal schemes, including ransomware and “crypto-jacking” schemes, the latter of which refers to the group’s unauthorized use of victim computers to “mine” cryptocurrency”",https://www.cyberscoop.com/apt41-fireeye-china/ ,https://www.reuters.com/article/us-china-cyber-moonlighters/chinese-government-hackers-suspected-of-moonlighting-for-profit-idUSKCN1UX1JE,,,,https://www.justice.gov/opa/pr/seven-international-cyber-defendants-including-apt41-actors-charged-connection-computer;,,https://www.fbi.gov/wanted/cyber/apt-41-group;
134,2710,US,China,Chinese Moonlighting ,9/15/2019,9/11/2020,3,1,710,1,0,1,0,0,3,4,3,1,1,"“In August 2019 and August 2020, a federal grand jury in Washington, D.C., returned two separate indictments charging five computer hackers, all of whom were residents and nationals of the People’s Republic of China (PRC), with computer intrusions affecting over 100 victim companies in the United States and abroad, including software development companies, computer hardware manufacturers, telecommunications providers, social media companies, video game companies, non-profit organizations, universities, think tanks, and foreign governments, as well as pro-democracy politicians and activists in Hong Kong….facilitated the theft of source code, software code signing certificates, customer account data, and valuable business information.  These intrusions also facilitated the defendants’ other criminal schemes, including ransomware and “crypto-jacking” schemes, the latter of which refers to the group’s unauthorized use of victim computers to “mine” cryptocurrency”",https://www.cyberscoop.com/apt41-fireeye-china/ ,https://www.reuters.com/article/us-china-cyber-moonlighters/chinese-government-hackers-suspected-of-moonlighting-for-profit-idUSKCN1UX1JE,,,,https://www.justice.gov/opa/pr/seven-international-cyber-defendants-including-apt41-actors-charged-connection-computer,,https://www.fbi.gov/wanted/cyber/apt-41-group
135,2710,US,China,Chinese Multiple Exploit,1/20/2020,3/11/2020,3,1,710,3,0,0,0,0,4,2,13,1,0,APT41 attempts to breach UStech sector ,https://www.fireeye.com/blog/threat-research/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html,https://www.hhs.gov/sites/default/files/apt41-citrix-and-zoho-attacks-on-healthcare.pdf,,,,,,
136,2710,US,China,BioTech Firm Attacks,1/27/2020,5/10/2020,3,1,710,2,0,1,0,0,3,2,12,0,0,China accused by US officals of trying to steal research on COVID-19 vaccines.,https://www.nytimes.com/2020/05/10/us/politics/coronavirus-china-cyber-hacking.html,https://www.reuters.com/article/us-health-coronavirus-moderna-cyber-excl/exclusive-china-backed-hackers-targeted-covid-19-vaccine-firm-moderna-idUSKCN24V38M,https://www.bbc.com/news/world-us-canada-52656656,,,https://www.justice.gov/opa/pr/two-chinese-hackers-working-ministry-state-security-charged-global-computer-intrusion,,
137,2710,US,China,Cybersecurity Spoof,3/1/2020,9/30/2020,3.1,2,710,3,0,0,0,0,3,1,11,0,0,Attempt to breach US political campaign posing as cybersecurity company,https://www.pcmag.com/news/google-chinese-hackers-are-posing-as-mcafee-antivirus-to-phish-victims,https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,https://malpedia.caad.fkie.fraunhofer.de/actor/apt31,https://www.cybersecurity-insiders.com/google-identifies-mcafee-malware-spread-on-biden-supporters-via-china/,,,,
138,2710,US,China,Posing Security,3/1/2020,9/30/2020,3.1,1,710,3,0,0,0,0,3,1,13,1,0,Attempt to breach  international companies posing as cybersecurity company,https://www.pcmag.com/news/google-chinese-hackers-are-posing-as-mcafee-antivirus-to-phish-victims,https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,https://malpedia.caad.fkie.fraunhofer.de/actor/apt32,https://www.cybersecurity-insiders.com/google-identifies-mcafee-malware-spread-on-biden-supporters-via-china/,,,,
139,2710,US,China,Exchange Hack Webshell,1/5/2021,3/2/2021,4.4,1,710,3,0,1,0,0,4,1,13,1,0,Microsoft Exchange Server Hack,https://blogs.microsoft.com/on-the-issues/2021/03/02/new-nation-state-cyberattacks/,https://www.zdnet.com/article/everything-you-need-to-know-about-microsoft-exchange-server-hack/,https://krebsonsecurity.com/2021/03/at-least-30000-u-s-organizations-newly-hacked-via-holes-in-microsofts-email-software/,https://www.csoonline.com/article/3616699/the-microsoft-exchange-server-hack-a-timeline.html,,,,
140,2710,US,China,Arrow Eclipse,5/27/2007,6/13/2013,4.4,3,2,4,0,1,1,0,4,3,11,0,0,"Publically available sources claim that NSA launches several 'man in the middle"" operations infiltrating Chinese data theft campaigns, honey pot systems",,,,,,,,
141,2710,US,China,Boxing Rumble_A,1/1/2008,7/19/2010,2,3,2,4,0,1,1,0,4,3,11,0,0,Publically available sources claim that Defensive measure botnet campaign thwarting Chinese PLA camapaigns against DoD's unclassified NIPRNET,https://resources.infosecinstitute.com/snowdens-new-revelations-dominance-cyberspace/#gref ,https://arstechnica.com/information-technology/2015/01/nsa-secretly-hijacked-existing-malware-to-spy-on-n-korea-others/?comments=1&post=28312161,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/314511/Cyber-Reports-2018-03.pdf,https://www.bbc.com/news/world-us-canada-23123964,,,,
142,2710,US,China,NSA Fourth Party collection,7/1/2009,6/13/2013,3,3,2,4,0,1,1,0,4,3,11,0,0,Publically available sources claim that NSA intercepts all sensitve information being stolen by the Byzantine Raptor series from China,"http://www.spiegel.de/international/world/new-snowden-docs-indicate-scope-of-nsa-preparations-for-cyber-battle-a-1013409-2.html, https://www.theverge.com/2015/1/17/7629721/nsa-is-pwning-everyone-and-having-a-chuckle-about-it",,,,,,,
143,2731,US,N Korea,Fourth of July_A,7/4/2009,7/7/2009,2,2,731,1,0,1,0,0,2,1,2,0,0,"Show of cyber capabilities to commemorate the 15th anniversary of the death of Kim Il Sung, and coincide with the launch of 7 new short range missiles.",https://www.csmonitor.com/Technology/Horizons/2009/0708/north-korean-hackers-blamed-for-sweeping-cyber-attack-on-us-networks, https://www.nytimes.com/2009/07/09/technology/09cyber.html?mtrref=www.google.com&gwh=446A2A35F5DC5847A2B1F4A3E31B4D00&gwt=pay,,,,,,
144,2731,US,N Korea,NK Stuxnet,3/1/2010,4/30/2010,4.3,3,2,4,0,0,0,0,5,2,14,1,0,Publically available sources claim that Stuxnet style worm attempted to disrupt NK's nuclear progam but ultimately could not reach its target,"https://www.wired.com/2015/05/us-tried-stuxnet-north-koreas-nuclear-program/, https://www.reuters.com/article/us-usa-northkorea-stuxnet-idUSKBN0OE2DM20150529",,,,,,,
145,2731,US,N Korea,March DDoS 1,3/1/2011,3/4/2011,2,2,731,1,1,1,0,0,2,1,11,0,0,Retaliation for US - S. Korea military training drills conducted around the same time.,https://www.bbc.com/news/technology-12646052,,,,,,,
146,2731,US,N Korea,December defacement,12/7/2011,12/7/2011,1,2,731,1,1,1,0,1,2,1,14,0,0,"Register displeasure at the resumption of US - S. Korea nuclear energy talks on the 5th of December, Kin Jung Il death.",https://www.channel4.com/news/officials-pay-respects-to-their-dear-leader, https://www.abc.net.au/news/2011-12-19/north-korean-leader-kim-jong-il-dead/3738526,,,,,,
147,2731,US,N Korea,Sony Hack ,11/24/2014,11/25/2014,3,2,731,4,1,1,0,0,4,1,2,0,0,"Sony Pictures, USA is breached and secretive information leaked online by the Guardians of Peace, later attibuted to the NK govt",https://www.vox.com/2015/1/20/18089084/sony-hack-north-korea, https://www.nytimes.com/2014/12/31/business/media/sony-attack-first-a-nuisance-swiftly-grew-into-a-firestorm-.html,,,,,,
148,2731,US,N Korea,US Left of Launch,11/10/2015,4/24/2017,4.3,3,2,4,0,1,0,0,6,2,13,1,0,Publically available sources claim that Evidence of US operations bringing down NK missiles when testing ,"https://www.defenseone.com/threats/2018/01/left-launch-missile-defense-you-dont-want-have-just-one-solution-threat/145438/, https://www.nytimes.com/2017/03/04/world/asia/left-of-launch-missile-defense.html",,,,,,,
149,2731,US,N Korea,US power company hacks,9/5/2016,12/6/2016,3,1,731,1,0,1,0,0,4,2,8,1,0,"Concurrent with the SK Ministry of Defense breach, NK hacks US power compaines in SK ",https://www.nbcnews.com/news/north-korea/experts-north-korea-targeted-u-s-electric-power-companies-n808996, https://www.cyberscoop.com/north-korea-ics-hacking-dhs-ics-cert/,,,,,,
150,2731,US,N Korea,Fake Fundraiser,4/1/2017,4/30/2017,3,3,731,3,0,0,0,0,3,2,6,0,0,DPRKn response to THAAD.,https://www.cyberscoop.com/lazarus-group-north-korea-us-defense-contractors/ ,https://www.bleepingcomputer.com/news/security/north-korean-cyberspies-target-us-defense-contractors-following-nuclear-threats/,https://unit42.paloaltonetworks.com/unit42-the-blockbuster-sequel/,,,,,
151,2731,US,N Korea,WannaCry- US Critical Infrastructure,5/12/2017,6/1/2017,4.2,1,731,4,0,1,0,1,4,1,13,1,1,Finance the regime.,https://www.bbc.com/news/technology-40297493,https://www.opswat.com/blog/massive-ransomware-attack-hits-critical-infrastructure-plants-and-organizations-worldwide,,,,,https://us-cert.cisa.gov/sites/default/files/FactSheets/NCCIC%20ICS_FactSheet_WannaCry_Ransomware_S508C.pdf;  https://us-cert.cisa.gov/ncas/alerts/TA17-164A,
152,2731,US,N Korea,KONNI,7/4/2017,7/6/2017,3,1,731,1,0,1,0,0,2,4,17,1,0,A malicioUSemail attachment was the vector for a RAT apparently designed to gather information on individuals interested in DPRK's missile launch in early July. ,https://thehackernews.com/2017/07/north-korea-missile-malware.html,https://us-cert.cisa.gov/ncas/alerts/aa20-227a,https://blog.talosintelligence.com/2017/07/konni-references-north-korean-missile-capabilities.html,,,,https://us-cert.cisa.gov/ncas/alerts/aa20-227a,
153,2731,US,N Korea,Operation Sharpshooter .mil,9/1/2017,12/1/2018,3,3,731,3,0,1,0,0,4,4,11,1,0,Desire for cash and to steal sensitive U.S Government data from critical infrastructure,https://thehill.com/policy/cybersecurity/432247-security-firm-links-cyber-espionage-campaign-targeting-key-sectors-to,https://www.mcafee.com/enterprise/en-us/assets/reports/rp-operation-sharpshooter.pdf,,,,,,
154,2731,US,N Korea,Operation Sharpshooter .gov,9/1/2017,12/1/2018,3,2,731,3,0,1,0,0,4,4,11,0,0,Desire for cash and to steal sensitive U.S Government data from critical infrastructure,https://thehill.com/policy/cybersecurity/432247-security-firm-links-cyber-espionage-campaign-targeting-key-sectors-to,https://www.mcafee.com/enterprise/en-us/assets/reports/rp-operation-sharpshooter.pdf,,,,,,
155,2731,US,N Korea,Operation Sharpshooter .com,9/1/2017,12/1/2018,3,1,731,3,0,1,0,0,4,4,4,0,0,Desire for cash and to steal sensitive U.S Government data from critical infrastructure,https://thehill.com/policy/cybersecurity/432247-security-firm-links-cyber-espionage-campaign-targeting-key-sectors-to,https://www.mcafee.com/enterprise/en-us/assets/reports/rp-operation-sharpshooter.pdf,,,,,,
156,2731,US,N Korea,Power Company Phishing,9/22/2017,10/11/2017,3,1,731,2,0,0,0,0,1,1,11,1,0,"Concurrent with the SK Ministry of Defense breach, NK hacks USpower compaines in SK ",https://www.nbcnews.com/news/north-korea/experts-north-korea-targeted-u-s-electric-power-companies-n808996,https://www.fireeye.com/blog/threat-research/2017/10/north-korean-actors-spear-phish-us-electric-companies.html,https://www.infosecurity-magazine.com/news/north-korea-targets-us-power-grid/, https://www.cyberscoop.com/north-korea-ics-hacking-dhs-ics-cert/,,,,
157,2731,US,N Korea,DPRK Crypto-laundering,12/1/2017,4/1/2019,4.2,1,731,1,0,1,0,0,4,2,9,0,0,"According to the pleadings, in 2018, DPRKn co-conspirators hacked into a virtual currency exchange and stole nearly $250 million worth of virtual currency. The funds were then laundered through hundreds of automated cryptocurrency transactions aimed at preventing law enforcement from tracing the funds",https://www.justice.gov/opa/pr/two-chinese-nationals-charged-laundering-over-100-million-cryptocurrency-exchange-hack,https://www.reuters.com/article/us-usa-northkorea-crypto/u-s-seeks-to-seize-280-cryptocurrency-accounts-tied-to-north-korean-hacks-idUSKBN25N39F,https://www.wsj.com/articles/u-s-authorities-charge-north-koreans-in-long-running-hacking-scheme-11613581358,https://www.newyorker.com/magazine/2021/04/26/the-incredible-rise-of-north-koreas-hacking-army,,https://www.justice.gov/opa/pr/two-chinese-nationals-charged-laundering-over-100-million-cryptocurrency-exchange-hack,,
158,2731,US,N Korea,Stolen Pencil,5/1/2018,12/6/2018,3,1,731,3,0,1,0,0,3,1,17,0,0,North Korean attacked universities in the U.S. focusing on biomedical engineering,https://www.cyberscoop.com/suspected-north-korean-hackers-target-universities-using-chrome-extension/,https://www.netscout.com/blog/asert/stolen-pencil-campaign-targets-academia,,,,,,
159,2731,US,N Korea,Babyshark - US,2/1/2019,9/1/2019,3,1,731,3,0,0,0,0,3,1,17,0,0,"North Korean operatives targeted  research-oriented organisations including: Stanford University, Congressional Research Service (CRS), a United States-based think tank, and five different email service providers. No evidence that this incident was successful.",https://www.zdnet.com/article/phishing-campaign-attempts-to-spread-a-new-brand-of-snooping-malware/,https://unit42.paloaltonetworks.com/new-babyshark-malware-targets-u-s-national-security-think-tanks/,,,,,,
160,2731,US,N Korea,COVID disruption_DPRK ,5/1/2020,11/1/2020,3,1,731,1,0,1,0,0,2,1,12,0,0,Attempted access to COVID vaccine data ,https://www.cyfirma.com/early-warning/global-covid-19-related-phishing-campaign-by-north-korean-operatives-lazarus-group-exposed-by-cyfirma-researchers/,https://www.zdnet.com/article/north-korean-state-hackers-reportedly-planning-covid-19-phishing-campaign-targeting-5m-across-six-nations/,https://techcrunch.com/2020/11/13/microsoft-russia-north-korea-hackers-coronavirus-vaccine/,,,,,
161,2731,US,N Korea,COVID Phishing Campaign,6/1/2020,6/22/2020,3,1,731,2,0,0,0,0,3,1,12,0,0,"North Korean sent COVID-19 phishing emails to 5 million+ businesses to S Korea, Singapore, US, Japan, India, and the UK to steal information",https://techcrunch.com/2020/11/13/microsoft-russia-north-korea-hackers-coronavirus-vaccine/,https://blogs.microsoft.com/on-the-issues/2020/11/13/health-care-cyberattacks-covid-19-paris-peace-forum/?2020-11-13,https://www.wsj.com/articles/covid-19-vaccine-makers-face-russian-north-korean-cyberattacks-microsoft-says-11605276003,,,,,
162,2731,US,N Korea,Boxing Rumble_B,1/1/2008,7/19/2010,2,2,2,4,0,1,1,0,2,3,3,0,0,"Publically available sources claim that US defensive reverse botnet campaign, honeypot of potential initiators deflected and botnet back to the original source",https://resources.infosecinstitute.com/snowdens-new-revelations-dominance-cyberspace/#gref ,https://arstechnica.com/information-technology/2015/01/nsa-secretly-hijacked-existing-malware-to-spy-on-n-korea-others/?comments=1&post=28312161,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/314511/Cyber-Reports-2018-03.pdf,https://www.bbc.com/news/world-us-canada-23123964,,,,
163,20365,Canada,Russia,Russian Info Swipe_B,1/1/2011,7/1/2014,3,1,365,2,0,1,0,0,3,2,8,0,0,Russia hacks and steals sensitive information from defense contractors in US and Canada and multiple oil company Exxon Mobi and UK's BP,https://www.symantec.com/blogs/threat-intelligence/dragonfly-energy-sector-cyber-attacks,,,,,,,
164,20365,Canada,Russia,CyberBerkut NATO Websites_B,3/15/2014,3/27/2014,2,3,365,1,1,1,0,0,2,1,11,0,0,Signal NATO members to avoid intervention in Ukraine,https://motherboard.vice.com/en_us/article/jp5mxd/pro-russia-ukranians-hack-nato-websites, https://www.reuters.com/article/us-ukraine-nato/nato-websites-hit-in-cyber-attack-linked-to-crime,,,,,,
165,20365,Canada,Russia,WellMess/COVID vaccine data breaches_A,4/1/2020,7/16/2020,3,1,365,3,0,0,0,0,4,2,12,0,0,Attempted access to COVID vaccine data ,https://www.securitymagazine.com/articles/92870-apt29-targets-covid-19-vaccine-development,https://media.defense.gov/2020/Jul/16/2002457639/-1/-1/0/NCSC_APT29_ADVISORY-QUAD-OFFICIAL-20200709-1810.PDF,,,,,,
166,200365,UK,Russia,Russian Info Swipe_C,1/1/2011,7/1/2014,3,1,365,2,0,1,0,0,4,2,6,0,0,Russia hacks and steals sensitive information from defense contractors in US and Canada and multiple oil company Exxon Mobi and UK's BP,https://www.symantec.com/blogs/threat-intelligence/dragonfly-energy-sector-cyber-attacks,,,,,,,
167,200365,UK,Russia,CyberBerkut NATO Websites_C,3/15/2014,3/25/2014,2,3,365,1,1,1,0,0,2,1,11,0,0,Signal NATO members to avoid intervention in Ukraine,https://motherboard.vice.com/en_us/article/jp5mxd/pro-russia-ukranians-hack-nato-websites, https://www.reuters.com/article/us-ukraine-nato/nato-websites-hit-in-cyber-attack-linked-to-crimea-tension-idUSBREA2E0T320140316,,,,,,
168,200365,UK,Russia,White Bear Toolset,2/1/2016,6/30/2017,3,2,365,2,0,1,0,0,3,2,11,0,0,WhiteBear targets diplomatic organizations ,https://www.schneier.com/blog/archives/2017/09/russian_hacking.html,,,,,,,
169,200365,UK,Russia,Brexit election meddling,4/23/2016,6/24/2016,3,1,365,2,1,1,0,0,4,1,11,0,0,Russian cyber and infomraiton tactics present in helping the Leave camp and hurting the Remain camp,https://www.theguardian.com/uk-news/2018/jun/16/arron-banks-nigel-farage-leave-brexit-russia-connection, https://www.theguardian.com/commentisfree/2018/jun/17/why-isnt-there-greater-outrage-about-russian-involvement-in-brexit,,,,,,
170,200365,UK,Russia,BlogURL Attack,7/1/2017,11/2/2017,3,1,365,1,1,0,0,0,2,1,17,0,0,Failed attempt to infiltrate whistleblowing site Bellingcat ,https://threatconnect.com/blog/fancy-bear-leverages-blogspot/,,,,,,,
171,200365,UK,Russia,Neptun,1/1/2018,6/20/2019,4.4,2,365,3,0,1,0,0,1,1,11,1,0,Neptun passive sniffer looking for admin commands ,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/waterbug-espionage-governments,,,,,,,
172,200365,UK,Russia,ShellRunner,1/1/2018,6/20/2019,4.2,2,365,3,0,1,0,0,4,4,11,1,0,ShellRunner backdoor ,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/waterbug-espionage-governments,,,,,,,
173,200365,UK,Russia,Meterpreter,1/1/2018,6/20/2019,3,2,365,3,0,1,0,0,4,4,11,1,0,Meterpreter backdoor to install spyware,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/waterbug-espionage-governments,,,,,,,
174,200365,UK,Russia,Trade Minister Email Hack,7/12/2019,10/21/2019,3,2,365,1,1,1,0,0,4,1,11,0,0,Russian Hackers infiltrated the email account of the trade minister in the lead up to the 2019 election and leaked documents as part of a disinformation campaign to undermine Borris Johnson's party. The narrative was the Labour Party is selling the National Healthcare system to the US.,https://www.reuters.com/article/us-britain-russia-hack-exclusive/exclusive-papers-leaked-before-uk-election-in-suspected-russian-operation-were-hacked-from-ex-trade-minister-sources-idUSKCN24Z1V4,https://www.theguardian.com/politics/2020/aug/03/classified-documents-on-us-uk-trade-talks-hacked-from-liam-fox-emails,https://www.bbc.com/news/uk-politics-53642923,,,,,
175,200365,UK,Russia,WellMess/COVID vaccine data breaches_B,4/1/2020,7/16/2020,3,1,365,3,0,0,0,0,4,2,12,0,0,Attempted access to COVID vaccine data ,https://www.securitymagazine.com/articles/92870-apt29-targets-covid-19-vaccine-development,https://media.defense.gov/2020/Jul/16/2002457639/-1/-1/0/NCSC_APT29_ADVISORY-QUAD-OFFICIAL-20200709-1810.PDF,,,,,,
176,200710,UK,China,Discount Air Data,1/1/2020,5/19/2020,3,1,710,2,0,1,0,0,3,1,15,0,0,EasyJet 9M records stolen.,https://www.fireeye.com/blog/threat-research/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html,https://www.bbc.com/news/technology-52722626,,,,,,
177,200731,UK,N Korea,WannaCry- IK NHS,5/12/2017,6/1/2017,4.2,1,731,4,0,1,0,1,4,1,12,1,1,Finance the regime.,https://www.bbc.com/news/technology-40297493,https://www.opswat.com/blog/massive-ransomware-attack-hits-critical-infrastructure-plants-and-organizations-worldwide,,,,,https://us-cert.cisa.gov/sites/default/files/FactSheets/NCCIC%20ICS_FactSheet_WannaCry_Ransomware_S508C.pdf,
178,200731,UK,N Korea,Babyshark-UK ,2/1/2019,9/1/2019,3,1,731,3,0,0,0,0,3,1,17,0,0,"North Korean operatives targeted a research-oriented organisation, the Royal United Services Institute. No evidence that this incident was successful.",https://www.zdnet.com/article/phishing-campaign-attempts-to-spread-a-new-brand-of-snooping-malware/,,,,,,,
179,220365,France,Russia,TV5Monde recon,1/23/2015,4/9/2015,3,1,365,2,1,1,0,0,3,1,2,1,0,Recon for later degradation attack on TV5Monde ,https://www.bankinfosecurity.com/french-officials-detail-fancy-bear-hack-tv5monde-a-9983, https://www.bbc.com/news/technology-37590375,,,,,,
