Incident No.,Inclusion Criteria I,Inclusion Criteria II,Source Incident Detection/Disclosure,Source Incident Detection/Disclosure II,Start Date (Year),Start Date (Month),Start Date (Date),End Date (Year),End Date (Month),End Date (Date),Receiver Category I,Receiver Category II,Receiver Category III,Receiver Category IV,Receiver Category V,Receiver Category VI,Receiver Category VII,Receiver Category VIII,Receiver Category IX,Receiver Category X,Receiver Country I,Receiver Country II,Receiver Country III,Receiver Country IV,Receiver Country V,Receiver Country VI,Receiver Country VII,Receiver Country VIII,Receiver Country IX,Receiver Country X,Receiver Regime Type I,Receiver Regime Type II,Receiver Regime Type III,Initiator Category,Name Initiator,Name Initiator II,Initiator Country I,Initiator Country II,Initiator Country III,Initiator Country IV,Initiator Country V,Initiator Regime Type I,Initiator Regime Type II,Attribution Year,Political/Legal Response Year,Attribution Basis I,Attribution Type I,Attribution Basis II,Attribution Type II,Attribution Basis III,Attribution Type III,Attribution Basis IV,Attribution Type IV,Attribution IT-Security Community (category) I,Attribution IT-Security Community (category) II,Attribution IT-Security Community (country) I,Attribution IT-Security Community (country) II,Country of Origin: IT Attribution I,Country of Origin: IT Attribution II,Temporal Attribution Sequence,Cyber-Conflict Issue I,Cyber-Conflict Issue II,Cyber-Conflict Issue III,Cyber-Conflict Issue IV,Offline-Conflict (Intensity) - HIIK,Offline-Conflict (Issue) - HIIK I,Offline-Conflict (Issue) - HIIK II,Offline-Conflict (Issue) - HIIK III,Offline-Conflict (Issue) - HIIK IV,Zero Day(s),Incident Type I,Incident Type II,Incident Type III,Data Theft,Disruption,Hijacking (accessing and controlling a system),Physical Effects (spatial),Physical Effects (temporal),Unweigthed Cyber Intensity,Target/effect multiplier,Weighted Cyber Intensity,Casualties,Sources,Sources Attribution,Sources Politicization,Incident Name,Description
362,2.1,10,2,na,2012,5,na,2015,9,na,1.1,5,na,na,na,na,na,na,na,na,MMR,CAN,DEU,USA,KOR,SGP,na,na,na,na,1,3,na,2,Mofang,na,CHN,na,na,na,na,3,na,2016,na,2,5,na,na,na,na,na,na,2,na,CHN,na,NLD,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.securityweek.com/chinese-attackers-conduct-cyberespionage-economic-gain,https://foxitsecurity.files.wordpress.com/2016/06/fox-it_mofang_threatreport_tlp-white.pdf,https://foxitsecurity.files.wordpress.com/2016/06/fox-it_mofang_threatreport_tlp-white.pdf,Mofang_ShimRat Reporter,"A threatgroup called ""Mofang"" believed to be affiliated with the Chinese government has been conducting cyberespionage operations against Myanmar and other countries for economic gain, using the malware""ShimRatReporter""."
363,3,na,3,na,2012,5,22,2012,5,22,1.4,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,1,4,3,1,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://mashable.com/2012/05/22/anonymous-department-justice/#YTbwFNx45ZqN,na,na,Anonymous vs. DOJ,Anonymous Hacks Department of Justice
364,2,4,3,na,2012,5,29,2012,5,29,1.1,9,na,na,na,na,na,na,na,na,IND,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Zcompany Hacking Crew,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,9,na,na,na,3,9,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/1846-government-civilian-websites-hacked-by-z-company-hacking-crew/,na,na,Zcompany Hacking Crew hacks government pages,Government & Civilian Websites Hacked by Zcompany Hacking Crew
365,2,4,3,na,2012,6,na,2012,6,na,1.1,2,5,na,na,na,na,na,na,na,MMR,na,na,na,na,na,na,na,na,na,3,na,na,3.3,Bangladesh Cyber Army,na,BGD,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,11,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://news.softpedia.com/news/Bangladeshi-Cyber-Army-Declares-War-on-Myanmar-Attacks-Websites-276450.shtml,na,na,Bangladeshi Cyber Army Declares War,Bangladeshi Cyber Army Declares War on Myanmar
366,4,na,1,na,2012,6,na,2012,6,na,1.6,na,na,na,na,na,na,na,na,na,DNK,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,0,na,na,na,na,0,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://politiken.dk/newsinenglish/art5450702/Hackers-have-got-into-the-identity-register,na,na,Danish Car Register Hacked,Hackers have got into the identity register
367,2,na,3,na,2012,6,na,2012,6,na,5,8,na,na,na,na,na,na,na,na,ARE,na,na,na,na,na,na,na,na,na,3,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://news.softpedia.com/news/Anonymous-Hackers-Leak-Data-from-United-Arab-Emirates-Netfilter-Servers-278274.shtml,na,na,Anonymous vs. UAE,The hacking group Anonymous leaked data from the netfilter server of the United Arab Emirates
368,2,10,3,na,2012,6,na,2012,8,na,1,5,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Team Ghostshell,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://www.csoonline.com/article/2223032/microsoft-subnet/massive-leak--project-hellfire-hackers-dump-1-million-accounts-from-100-sites.html,https://www.imperva.com/blog/analyzing-the-team-ghostshell-attacks/,na,Project Hell Fire Leak,Massive Leak: Project Hell Fire Hackers Dump 1 Million Accounts from 100 Sites
369,2,4,3,na,2012,6,19,2012,6,19,1.1,7,9,na,na,na,na,na,na,na,BGD,na,na,na,na,na,na,na,na,na,2,na,na,3.3,Myanmar Cyber Army,na,MMR,na,na,na,na,3,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://news.softpedia.com/news/Myanmar-Hackers-Fight-Back-92-Bangladeshi-Government-Sites-Taken-Down-276714.shtml,na,na,Myanmar CyberArmy strikes back against Bangladesh,92 Bangladeshi Government Sites Taken Down
370,4,na,3,na,2012,6,26,2012,6,26,1.1,na,na,na,na,na,na,na,na,na,ISR,na,na,na,na,na,na,na,na,na,1,na,na,4,Hitcher,na,PAK,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,1,2,na,1,1,0,0,0,2,1,2,0,https://news.softpedia.com/news/Israeli-Government-Site-Hacked-in-Protest-Against-Mr-Badoo-s-Arrest-277842.shtml,na,na,Hitcher vs. Knesset,Israeli Government Site Hacked
371,2,na,3,na,2012,6,27,2012,6,28,5,na,na,na,na,na,na,na,na,na,ISR,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Iran Hack Security Team,na,IRN,na,na,na,na,3,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,2,5,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/45-israeli-websites-hacked-by-iran-hack-security-team/,na,na,Iran Hack Security Team Hacks Israeli Pages,45 Israeli Websites hacked by Iran Hack SecurityTeam
372,2,3,3,na,2012,7,na,2012,7,na,1.6,na,na,na,na,na,na,na,na,na,IND,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/tamil-nadus-cyber-crime-cell-website-taken-by-anonymous/,na,na,Anonymous vs. Tamil Cyber Crime Cell,Tamil Nadu’s Cyber Crime Cell website taken by Anonymous
373,2,na,3,na,2012,7,na,2012,7,na,0,na,na,na,na,na,na,na,na,na,IRN, CHN,na,na,na,na,na,na,na,na,3,na,na,3.3,Poltergeisth4cker,na,NLD,na,na,na,na,1,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,11,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/66-iranian-and-chinese-websites-hacked-by-poltergeisth4cker-from-netherlands/,na,na,Poltergeist h4cker hacks Iranian and Chinese Websites,66 Iranian and Chinese websites hacked by Poltergeist h4cker
374,2,na,3,na,2012,7,na,2012,7,na,2,7,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Null Crew,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://news.softpedia.com/news/PBS-and-World-Health-Organization-Allegedly-Hacked-User-Details-Leaked-281123.shtml,na,na,NullCrew vs. PBS and WHO,"PBS and World Health Organization Hacked, User Details Leaked"
375,2,4,3,na,2012,7,13,2012,7,13,1.8,9,na,na,na,na,na,na,na,na,IND,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Sharp-Cyber-Group,na,PAK,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/216-indian-websites-hacked-by-hcrack2-of-sharp-cyber-group/,na,na,Sharp-Cyber-Group vs. Indian Websites,216 Indian Websites hacked by Hcrack2ofSharp-CyberGroup
376,2,4,3,na,2012,8,na,2012,8,na,1,1.1,na,na,na,na,na,na,na,na,GBR,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://news.softpedia.com/news/Anonymous-Attacks-UK-Home-Office-DWP-Ministry-of-Justice-in-OpFreeAssange-287189.shtml,http://www.bbc.com/news/uk-wales-19381444; https://www.theguardian.com/technology/2012/aug/21/anonymous-hits-government-websites-julian-assange,na,OP Free Assange Part II,"Anonymous Attacks UK Home Office, DWP, Ministry of Justice in Op Free Assange"
377,2,4,3,na,2012,8,na,2012,8,na,1.1,na,na,na,na,na,na,na,na,na,UGA,na,na,na,na,na,na,na,na,na,2,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.huffingtonpost.com/2012/08/16/uganda-government-websites-hacked-anonymous-gay-rights_n_1789623.html;  https://news.softpedia.com/news/Anonymous-Hacks-Website-of-Uganda-s-Prime-Minister-Fake-News-Posted-286638.shtml,na,na,Anonymous vs. Uganda,"Uganda Government Websites Hacked By Anonymous In Defense Of Gay Pride, LGBT Rights"
378,2,na,3,na,2012,8,3,2012,8,5,7,na,na,na,na,na,na,na,na,na,UK,na,na,na,na,na,na,na,na,na,0,na,na,0,na,na,0,na,na,na,na,3,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,5,1,2,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.reuters.com/article/us-syria-crisis-hacking/disinformation-flies-in-syrias-growing-cyber-war-idUSBRE8760GI20120807,na,na,SEA vs. Reuters Round I 2012,Disinformation flies in Syria's growing cyberwar: Reuters Twitter Account hacked allegedly by Assad-supporters.
379,2.1,6,0,na,2012,8,15,2012,na,na,3.1,na,na,na,na,na,na,na,na,na,SAU,QAT,na,na,na,na,na,na,na,na,3,na,na,2,APT33/Elfin,na,IRN,na,na,na,na,3,na,2012,na,2,5,5,5,na,na,na,na,2,na,IRN,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,2,3,na,0,2,2,0,0,4,1,4,0,https://www.nytimes.com/2012/10/24/business/global/cyberattack-on-saudi-oil-firm-disquiets-us.html; https://www.wired.com/2012/08/hack-attack-strikes-rasgas/,https://community.broadcom.com/symantecenterprise/communities/community-home/librarydocuments/viewdocument?DocumentKey=281521ea-2d18-4bf9-9e88-8b1dc41cfdb6&CommunityKey=1ecf5f55-9545-44d6-b0f4-4e4a7f5f5e68&tab=librarydocuments;  https://www.mcafee.com/blogs/other-blogs/mcafee-labs/shamoon-attackers-employ-new-tool-kit-to-wipe-infected-systems/ ,https://www.reuters.com/article/saudi-attack-idUSL5E8N91UE20121209,Saudi Aramco/Shamoon,"Cyberattack on Saudi Firm Saudi Aramco, by the self-proclaimed Hacking Group ""Cutting Sword of Justice"". The virus erased data on three-quarters of Aramco’s corporate PCs — documents, spreadsheets, e-mails, files — replacing all of it with an image of a burning American flag."
380,3,na,3,na,2012,8,25,2012,8,25,1.1,na,na,na,na,na,na,na,na,na,GBR,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Anonymous,na,GBR,na,na,na,na,1,na,na,na,1,3,3,1,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://thehackernews.com/2012/08/hackers-deface-website-of-former.html,na,na,Anonymous defaces Page of Pritish Prime Minister,Hackers Deface website of former British cabinet minister
381,2,10,3,na,2012,9,na,2012,9,na,1.1,1.4,na,na,na,na,na,na,na,na,JPN,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Honker Union,na,CHN,na,na,na,na,3,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,4,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.theglobeandmail.com/news/world/chinese-cyber-attacks-hit-japan-over-islands-dispute/article4553048/,na,na,HonkerUnion attacks Japan,Chinese cyberattacks hit Japan over islands dispute
382,4,na,3,na,2012,9,na,2012,9,na,1.1,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,3.3,BedU33N,na,BGD,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/us-department-of-agriculture-sites-hacked-by-bedu33n-against-anti-islamic-movie/,na,na,BedU33N vs. UN Department of Agriculture,US Department of Agriculture Sites Hacked by BedU33N against Anti-Islamic Movie
383,2,4,3,na,2012,9,na,2012,9,na,1.1,na,na,na,na,na,na,na,na,na,PHL,na,na,na,na,na,na,na,na,na,2,na,na,3.3,Philiipines Cyber Army,na,PHL,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/government-of-philippines-hacked-by-philippines-cyber-army/,na,na,Phillipines CyberArmy vs. Government of Phillipines,Government of Philippines Hacked by Philippines CyberArmy
384,4,na,3,na,2012,9,na,2012,9,na,1.6,na,na,na,na,na,na,na,na,na,ZAF,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Anonymous,Domainer,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/south-african-police-database-hacked-and-leaked-by-domainer-anonymous/,na,na,Domainer and Anonymous Leak Data of the South African Police Department,South African Police Database Hacked and Leaked by Domainer & Anonymous
385,4,na,3,na,2012,9,na,2012,9,na,1.1,na,na,na,na,na,na,na,na,na,MEX,na,na,na,na,na,na,na,na,na,2,na,na,4,Sizzling Soul (Pakistan Cyber Army),na,PAK,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/three-mexican-government-websites-hacked-by-sizzling-soul-against-anti-islamic-movie/,na,na,Sizzling Soulhacks Mexican Regional Governments,Three Mexican Government Websites Hacked by SizzlingSoul Against Anti-Islamic Movie
386,2,4,3,na,2012,9,na,2012,9,na,1.1,5,7,na,na,na,na,na,na,na,ISR,GBR,na,na,na,na,na,na,na,na,1,na,na,3.3,Bangladesh Cyber Army,na,BGD,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/25-israeli-and118-british-websites-hacked-by-bangladesh-cyber-army/,na,na,Bangladesh Cyber Army attacks Israeli and Bangladeshi Sites,"25 Israeli and 118 British, Including Government Websites Hacked by Bangladesh Cyber Army"
387,4,na,3,na,2012,9,na,2012,9,na,2,na,na,na,na,na,na,na,na,na,PHL,CUB,na,na,na,na,na,na,na,na,2,3,na,4,Turk Hack Team,na,TUR,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/unesco-cuba-and-un-philippine-hacked-by-samura-of-turk-hack-team/,na,na,TurkHackTeam vs. UN and UNESCO,UNESCO Cuba and UN Philippine Hacked By SaMuRa! Of TurkHackTeam
388,2,4,3,na,2012,9,na,2012,9,na,1.5,na,na,na,na,na,na,na,na,na,IND,na,na,na,na,na,na,na,na,na,1,na,na,4,Godzilla,na,PAK,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://www.hackread.com/indian-hacker-claims-to-leak-database-of-pakistan-army-and-kse-websites/,na,na,Godzilla pentrated Database of Pakistan Army,IndianHacker Claims to Leak Database of Pakistan Army and KSE Websites
389,4,na,3,na,2012,9,na,2012,9,na,1.1,na,na,na,na,na,na,na,na,na,TUR,na,na,na,na,na,na,na,na,na,2,na,na,3.3,RedHack,na,TUR,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/turkish-ministry-of-culture-tourism-website-taken-down-by-redhack-hackers/,na,na,RedHack leak Data of Turkish Ministry of Culture,Turkish Ministry of Culture & Tourism Website Taken Down by RedHack Hackers
390,2,na,1,na,2012,9,na,2015,na,na,8,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,CHN,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,CHN,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://bits.blogs.nytimes.com/2015/05/15/penn-states-college-of-engineering-hit-by-cyberattack/?mtrref=www.google.com,https://bits.blogs.nytimes.com/2015/05/15/penn-states-college-of-engineering-hit-by-cyberattack/?mtrref=www.google.com,na,PennState University Hack,"Hackers from China infiltrated the computer systems of Pennsylvania State University‘s College of Engineering, gaining usernames and passwords in what investigators described as a sophisticated cyberattack that lasted more than two years."
391,2,na,3,na,2012,9,5,2012,9,5,7,na,na,na,na,na,na,na,na,na,QAT,na,na,na,na,na,na,na,na,na,3,na,na,3.3,0,na,SYR,na,na,na,na,3,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://phys.org/news/2012-09-al-jazeera-websites-hacked.html,na,na,Website of Al-Jazeera hacked,Al-Jazeera websites hacked
392,4,na,3,na,2012,9,11,2012,9,11,1.1,na,na,na,na,na,na,na,na,na,KHM,na,na,na,na,na,na,na,na,na,3,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,1.1,na,na,2,0,0,0,0,2,1,2,0,https://news.softpedia.com/news/Hackers-Protest-Against-Arrest-of-TPB-Co-Founder-5-000-Documents-Leaked-291495.shtml,na,na,Anonymous revenge for Pirate Bay,"Hackers Protest Against Arrest of TPB Co-Founder, 5,000 Documents Leaked"
393,2,3,3,na,2012,10,na,2012,10,na,1.1,na,na,na,na,na,na,na,na,na,PHL,na,na,na,na,na,na,na,na,na,2,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://threatpost.com/anonymous-brings-government-sites-offline-philippines-petition-cybercrime-law-100112/77064/,na,na,Anonymous vs. NTC Phillipines,ANONYMOUS BRINGS GOVERNMENT SITES OFFLINE IN PHILIPPINES 
394,4,na,3,na,2012,10,na,2012,10,na,1.1,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Kosova Hacker’s Security,na,UNK,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/us-weather-gov-hacked-data-leaked-by-kosova-hackers-security/,na,na,Kosova Hacker’s Security vs. Us_weather.gov,"US Weather.Gov hacked, Data leaked by Kosova Hacker’s Security"
395,2,na,3,na,2012,10,na,2012,10,na,0,na,na,na,na,na,na,na,na,na,ISR,na,na,na,na,na,na,na,na,na,1,na,na,4,CapoO_TunisiAnoO,na,TUN,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/86-israeli-websites-hacked-by-capoo_tunisianoo/,na,na,CapoO_TunisiAnoO hack vs. Israel,86 Israeli websites hacked by CapoO_TunisiAnoO
396,2,na,3,na,2012,10,na,2012,10,na,5,na,na,na,na,na,na,na,na,na,ISR,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Bangladesh Grey Hat Hackers,na,BGD,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://news.softpedia.com/news/54-Israeli-Sites-Defaced-by-Bangladesh-Grey-Hat-Hackers-303008.shtml,na,na,BGHH defaces pages,54 Israeli Sites Defaced by Bangladesh Grey Hat Hackers
397,4,na,3,na,2012,10,na,2012,10,na,1.1,na,na,na,na,na,na,na,na,na,NGA,na,na,na,na,na,na,na,na,na,2,na,na,3.3,LolSec,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://www.hackread.com/nigerian-national-assembly-hacked-huge-database-leaked-by-lolsec/,na,na,LolSec leak Nigerian National Assembly Data,"Nigerian National Assembly Hacked, Huge Database Leaked by @LolSec"
398,1,3,0,na,2012,10,na,2012,11,na,1.5,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,CHN,na,na,na,na,3,na,2012,na,6,4,na,na,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,1,7,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/us-ex-military-head-mike-mullen-computers-hacked-by-unknown-hackers/,na,na,Mike Mullen Hacked,US Ex-Military Head Mike Mullen Computers Hacked by Unknown hackers
399,1,na,0,1,2012,10,na,2013,2,na,7,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,CHN,na,na,na,na,3,na,2013,na,1,4,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.nytimes.com/2013/01/31/technology/chinese-hackers-infiltrate-new-york-times-computers.html?mtrref=undefined&gwh=7F43CD54F8B386F686DA4E46DE17163F&gwt=pay,https://www.nytimes.com/2013/02/02/technology/washington-posts-joins-list-of-media-hacked-by-the-chinese.html,na,US Media Outlets hacked by the Chinese,"The networks of the WashingtonPost, NewYork Times, Wall Street Journal and Bloomberg have been attacked by Chinese hackers"
400,2,na,3,na,2012,11,na,2012,11,na,0,na,na,na,na,na,na,na,na,na,ISR,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Pakistan Grey Hat Hackers,na,BGD,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,3,1,6,9,11,1,2,na,na,0,1,0,0,0,1,1,1,0,https://news.softpedia.com/news/Bangladeshi-Hackers-Deface-20-Israeli-Websites-in-Support-for-the-People-of-Palestine-308272.shtml,na,na,Op Israel 2012 Bangladeshi Part,Bangladeshi Hackers Deface 20 Israeli Websites in Support for the People of Palestine
401,2,4,3,na,2012,11,na,2012,11,na,1.1,na,na,na,na,na,na,na,na,na,ISR,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Zcompany Hacking Crew,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,9,na,na,na,3,9,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://news.softpedia.com/news/Hackers-Breach-Israeli-Vice-PM-s-Twitter-Facebook-YouTube-and-Blogger-Accounts-308464.shtml; https://news.softpedia.com/news/ZHC-Hackers-Leak-Emails-Contacts-Other-Details-of-Israeli-Vice-Prime-Minister-308784.shtml,na,na,Zcompany Hacking Crew hacks government pages in Israel,"Hackers Breach Israeli Vice PM's Twitter, Facebook, YouTube and Blogger Accounts"
402,2,4,3,na,2012,11,na,2012,11,na,1.1,na,na,na,na,na,na,na,na,na,ISR,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Muslim Liberation Army,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,9,na,na,na,3,9,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/israels-ministry-of-national-infrastructures-webites-hacked-by-muslim-liberation-army/,na,na,Muslim Liberation Army vs. Israel,Israel’s Ministry of National Infrastructures Websites Hacked by Muslim Liberation Army
403,2,na,3,na,2012,11,na,2012,11,na,3.6,na,na,na,na,na,na,na,na,na,PSE,na,na,na,na,na,na,na,na,na,1,na,na,4,Yourikan,na,ISR,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,9,na,na,na,3,9,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://news.softpedia.com/news/Pro-Israel-Hacker-Disrupts-Palestinian-Hamas-Websites-308821.shtml,na,na,Yourikan counter attack OP Israel,Pro-Israel Hacker Disrupts Palestinian Hamas Websites
404,2,4,3,na,2012,11,na,2012,11,na,1.1,na,na,na,na,na,na,na,na,na,SYR,na,na,na,na,na,na,na,na,na,3,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1.1,na,na,2,0,0,0,0,2,1,2,0,https://www.hackread.com/anonymous-leak-emails-from-syrian-government/,na,na,Op Syria,Anonymous Leak Confidential Emails from Syrian Ministry of Foreign Affairs for #Op Syria
